Pair,Deviation,Heartbeat,Dec,Proxy,Enabled
XTZ / USD,1%,24h,8,0x5239a625dEb44bF3EeAc2CD5366ba24b8e9DB63F,N
XVS / USD,2%,24h,8,0x558E45a0cb2F376F771b6Dcb3caC5C3f42dd74f9,N
YFI / ETH,1%,24h,18,0x7c5d4F8345e66f68099581Db340cd65B078C41f4,N
YFI / USD,1%,1h,8,0xA027702dbb89fbd58938e4324ac03B58d812b0E1,N
YFII / ETH,2%,1h,18,0xaaB2f6b45B28E962B3aCd1ee4fC88aEdDf557756,N
ZAR / USD,0.3%,24h,8,0x438F81D95761d7036cd2617295827D9d01Cf593f,N
ZEC / USD,1%,24h,8,0xd54B033D48d0475f19c5fccf7484E8A981848501,N
ZRX / ETH,2%,24h,18,0x2Da4983a622a8498bb1a21FaE9D8F6C664939962,N
ZRX / USD,1%,1h,8,0x2885d15b8Af22648b98B122b22FDF4D2a56c6023,N
sCEX / USD,1%,24h,8,0x283D433435cFCAbf00263beEF6A362b7cc5ed9f2,N
sDEFI / USD,1%,24h,8,0xa8E875F94138B0C5b51d1e1d5dE35bbDdd28EA87,N
sUSD / USD,0.5%,24h,8,0xad35Bd71b9aFE6e4bDc266B345c198eaDEf9Ad94,N
